Time,Value
19723,49.1376345247181
19724,51.1390583120911
19731,51.3780665887855
19732,53.8712174667065
19733,57.4804503338407
19734,59.0421432452754
19741,62.0352091205291
19742,61.6920652590398
19743,60.8174297650905
19744,59.6819426509568
19751,58.5375308141696
19752,58.3639658459598
19753,58.0342724248385
19754,57.6739639201389
19761,57.7289160717804
19762,57.1764379262758
19763,55.3083174908499
19764,55.8082878090855
19771,55.2839734169934
19772,55.1904838584092
19773,54.9047957985725
19774,54.8254000309273
19781,54.7254896019492
19782,53.1627918155734
19783,53.1409455124336
19784,52.8471594688235
19791,53.8816520123925
19792,55.5184039015168
19793,56.598023415296
19794,57.0887000818908
19801,57.052745110584
19802,58.1098581649091
19803,59.7702651933129
19804,61.2149294848353
19811,63.1498479024135
19812,63.2427949360619
19813,61.8177786649799
19814,63.2956096129691
19821,60.2660481809004
19822,59.5175197944604
19823,57.5133781498432
19824,56.0062094787279
19831,55.8732078652754
19832,56.360454772747
19833,56.1742871792087
19834,57.8685355122548
19841,57.9709712040568
19842,57.8892551717167
19843,60.2636870755269
19844,58.9580760180033
19851,60.0932462649337
19852,59.4877817725936
19853,59.9746640659993
19854,59.2453035745538
19861,58.5822914535545
19862,58.7499112698382
19863,57.770167040739
19864,56.5193157605155
19871,55.9109050595082
19872,55.5456345021661
19873,54.9655677444996
19874,55.632949302462
19881,56.3617751535148
19882,58.318542443218
19883,62.4436083233719
19884,66.5771935625952
19891,70.2771882436569
19892,70.5096172113432
19893,69.482618905259
19894,67.9972863883341
19901,67.5277118790475
19902,67.4636291753336
19903,66.2264956569729
19904,65.4091049090188
19911,65.0657528323807
19912,65.375687200428
19913,67.3608368726744
19914,67.0101173712818
19921,66.439733776355
19922,66.491562093775
19923,66.4619746152788
19924,66.9633458471273
19931,67.7635352907578
19932,67.9498039252015
19933,67.9861792128476
19934,68.3253618068132
19941,69.0920722969036
19942,69.7615255550174
19943,70.664239072988
19944,70.2908570326613
19951,70.7465635442811
19952,69.5992244610851
19953,69.2673392301235
19954,68.8223653146853
19961,68.1203004583781
19962,68.3148263811409
19963,68.1128751364327
19964,67.8088176781082
19971,67.9500867847905
19972,68.2347330569684
19973,69.1482825353356
19974,69.8775822321632
19981,71.1482422545832
19982,71.7967371945341
19983,71.5459832560011
19984,72.2112477222629
19991,73.0267989023667
19992,74.1012488604345
19993,75.4535245746703
19994,76.8991808287039
20001,77.953932619524
20002,78.8340261029078
20003,78.3575646649799
20004,79.5296277802925
20011,80.8874531942361
20012,82.8254012686774
20013,86.7165806490331
20014,88.9407267606635
20021,92.4435679369985
20022,96.9871230714276
20023,100.529909806827
20024,103.278519383087
20031,106.738431379225
20032,111.53545608378
20033,117.294391801806
20034,120.068088750166
20041,120.079844351098
20042,117.685828248503
20043,116.933199364866
20044,117.644278783323
20051,118.164018434844
20052,117.748521390994
20053,116.983091571135
20054,117.657192808219
20061,119.046972160744
20062,121.896748954192
20063,122.999233964893
20064,123.226876263208
20071,123.518754323462
20072,126.469948777071
20073,129.251785930362
20074,131.131299679101
20081,130.174541021586
20082,125.484571110016
20083,120.827276379855
20084,116.217521410698
20091,114.758971286446
20092,117.287194691975
20093,121.611211613902
20094,126.291456192033
20101,129.462101279382
20102,130.069944398398
20103,127.972302515313
20104,126.441541133904
20111,124.402983840125
20112,121.707378695059
20113,118.967034810768
20114,115.811747818863
20121,115.987973839993
20122,114.729562217932
20123,114.398572645321
20124,115.038523331159
20131,115.6185437585
20132,116.759835558594
20133,119.718083056212
20134,122.832681725877
20141,124.547808293346
20142,125.561376295221
20143,127.02386476752
20144,128.128531394679
20151,130.514423904451
20152,135.340920276152
20153,138.507492496424
20154,137.598877304647
20161,138.113993551343
20162,139.889351474574
20163,142.325560581973
20164,147.183232587345
20171,151.161167927983
20172,153.224303348156
20173,153.284538868826
20174,153.374484289869
20181,152.831957886945
20182,151.425536346948
20183,149.441913285684
20184,144.676463646988
20191,140.803553925565
20192,139.614642527117
20193,143.492015168544
20194,148.078622819327
20201,150.768153444804
20202,150.031749744056
20203,152.217075961144
20204,155.552054669849
20211,164.244786864212
20212,175.063152623424
20213,184.732205730364
20214,191.754915040432
20221,193.641979316579
20222,190.294753433736
20223,182.962974642058
20224,179.339677257802
20231,176.657729794882
20232,175.316216385728
20233,176.771477184392
