Time,Value
19701,69.940505132739
19702,70.1949825667402
19703,74.0315557861958
19704,71.1262599538881
19711,71.9116189480219
19712,72.3292917040993
19713,73.4493431706052
19714,75.0474305365096
19721,75.6598086270286
19722,73.6349102258225
19723,74.1182524655351
19724,74.4529912518763
19731,74.2566991912652
19732,76.2547522121856
19733,77.2474303141264
19734,80.6941133127376
19741,82.1912382669999
19742,78.5589693854531
19743,78.0041941123051
19744,74.322971698792
19751,71.2618566274685
19752,72.8051595648124
19753,73.6379198578054
19754,73.4346813287272
19761,74.6482104194469
19762,74.2862512667998
19763,69.8749065899967
19764,70.7485305206133
19771,70.7300797490566
19772,70.6916205371543
19773,71.5803806437947
19774,70.7777683837058
19781,69.5701815681817
19782,68.3638129110909
19783,66.4158742399628
19784,66.1113742477225
19791,65.9909023866253
19792,68.1641095963598
19793,69.5711359607896
19794,69.6230344983534
19801,68.4276985145356
19802,68.4176720556698
19803,70.4347527351438
19804,70.7065872944387
19811,73.1777626568255
19812,71.8409855597537
19813,70.3307916926926
19814,71.3108895331045
19821,68.8158512354338
19822,67.3182796978438
19823,66.9864884888512
19824,65.2473403381728
19831,64.8873737784379
19832,67.8963526581572
19833,63.4269213625102
19834,66.2908306659823
19841,66.0292545071274
19842,65.8247725884482
19843,69.6470134909806
19844,67.929163644781
19851,69.3836618913448
19852,69.5805881904572
19853,70.9589880626169
19854,69.4990050773501
19861,69.2519745184068
19862,70.7387423379554
19863,70.4123980325859
19864,68.7681459297415
19871,69.5742295920547
19872,68.6675141692979
19873,68.0406806228619
19874,71.1633241131032
19881,71.549056668795
19882,74.0851442049328
19883,81.2577624921107
19884,84.9065048905048
19891,88.9811113035462
19892,88.6677618569282
19893,89.8257079025137
19894,84.2288530924217
19901,83.505403124402
19902,84.1016011139323
19903,83.3299705425891
19904,81.0147719584511
19911,83.2873355979315
19912,83.4206194291011
19913,85.5918543878677
19914,85.67130134396
19921,83.6467293675788
19922,83.8619347411613
19923,82.5180602933788
19924,83.2356090403319
19931,83.5941387930947
19932,82.6569680503782
19933,83.6821606952884
19934,83.3906263579593
19941,82.7151222290935
19942,81.7939166811311
19943,83.4296495669332
19944,81.8976854518554
19951,81.9927405647577
19952,80.8611520032367
19953,79.2769345211421
19954,78.1554067048933
19961,77.3063252291167
19962,76.8221404062919
19963,76.8245910351494
19964,75.9950499494126
19971,76.0478920316387
19972,76.0716537833257
19973,77.3652575528386
19974,78.6844406091261
19981,81.1937863240345
19982,82.0737934169133
19983,80.6521523939845
19984,82.9798140312268
19991,83.7333430663589
19992,82.0561078016543
19993,84.1734609684539
19994,85.1603605082297
20001,86.0324939998848
20002,89.3297689242017
20003,82.0889823514965
20004,86.214926298768
20011,86.3651262582346
20012,87.338471223079
20013,90.1032562869126
20014,89.7766188207539
20021,94.3049006490005
20022,103.575408969036
20023,105.726805216817
20024,108.211159264933
20031,110.004204209404
20032,114.256822958582
20033,119.836333172567
20034,120.968455225023
20041,119.941839147938
20042,113.674732696383
20043,115.153649818788
20044,113.491641342833
20051,113.228420597065
20052,111.260214063672
20053,110.6330975443
20054,112.641187962467
20061,112.99152309613
20062,115.944491739538
20063,113.440833376863
20064,112.767945460685
20071,112.60591710496
20072,113.808452224437
20073,117.845874016822
20074,119.453343956027
20081,118.362515814081
20082,115.682678965211
20083,112.469208724413
20084,103.588455592028
20091,105.79797433512
20092,106.449735797804
20093,114.807203411522
20094,118.631152633041
20101,121.069145089394
20102,122.174330685004
20103,119.186202379669
20104,115.986646980911
20111,113.218603676115
20112,111.510479268374
20113,109.01831768723
20114,106.058962626978
20121,108.141002678033
20122,106.326921718243
20123,108.976373161815
20124,108.990783754183
20131,108.899831229819
20132,110.938633654379
20133,113.461035058916
20134,115.390390348437
20141,116.761724330491
20142,116.908593468881
20143,119.010086176692
20144,119.698980498753
20151,122.30144482285
20152,126.013859719345
20153,129.239075184966
20154,130.073909357967
20161,130.41519311986
20162,131.49342775894
20163,133.616011708121
20164,138.068176484049
20171,141.079989830629
20172,143.701224714374
20173,143.949698051668
20174,141.82049946345
20181,140.488192485379
20182,138.629560939774
20183,136.411815693841
20184,130.520479459665
20191,126.247896238723
20192,125.995945502731
20193,126.631526606614
20194,131.319780014875
20201,131.343965602939
20202,125.278457348273
20203,123.16556193058
20204,128.925515287467
20211,133.18932631501
20212,143.887574830419
20213,145.387561852493
20214,153.432050378349
20221,153.268329981525
20222,152.310587142877
20223,145.701257686454
20224,147.111336981029
20231,146.754113352896
20232,148.945173385685
20233,154.488813926417
