Time,Value
19701,25.5203834991412
19702,25.885284347351
19703,26.3996274231867
19704,26.4532031215448
19711,26.6415551348588
19712,26.932546529718
19713,27.4083513431287
19714,27.6902676499354
19721,27.8997379666222
19722,28.2002602297565
19723,28.558455699423
19724,29.5108743244548
19731,29.9408659781999
19732,30.8839825325409
19733,32.4148734554542
19734,33.2850392466039
19741,34.6485281749936
19742,34.3319142520852
19743,33.1405590520005
19744,32.2053679357411
19751,31.9185976271005
19752,31.9938613716099
19753,32.0090623592926
19754,31.2197170097829
19761,31.3600426036811
19762,31.2178698097764
19763,30.8442266138249
19764,30.8726050397873
19771,30.7626724623792
19772,30.5630253287526
19773,30.3351469233208
19774,30.2527615060023
19781,30.4853420377643
19782,29.4678757566594
19783,29.3679109980035
19784,28.8948460484707
19791,29.6623053060947
19792,30.5786942763193
19793,30.8795588714286
19794,30.9283389919909
19801,30.3561257061606
19802,30.8729281697722
19803,31.6420875849905
19804,32.1740773314587
19811,33.120601721422
19812,33.1141011521489
19813,32.3769101592338
19814,33.1821500095447
19821,31.7776751086232
19822,31.6017569625611
19823,30.5872142445373
19824,29.7817323072507
19831,29.6142772479958
19832,29.8406770399739
19833,29.7666041603098
19834,30.458822261702
19841,30.6892373259719
19842,30.8904981257852
19843,32.2027622979501
19844,31.6792067650095
19851,32.5682982718588
19852,32.0385140832496
19853,32.5925177917175
19854,32.4418270267072
19861,32.2218195216703
19862,32.6743177713681
19863,31.9752877258592
19864,31.3872162534863
19871,31.2228527370934
19872,31.2630092013959
19873,31.3074142663924
19874,32.07060559657
19881,32.8417756552102
19882,34.2249489452989
19883,37.1109163435049
19884,39.9464936459658
19891,42.6260262580821
19892,42.7231466569839
19893,42.1889459590939
19894,41.4367730529045
19901,41.0095742582424
19902,40.8039013923703
19903,40.0992291099982
19904,39.3063456760305
19911,39.2390911521424
19912,39.5900453284559
19913,40.5543263175815
19914,40.1220696690078
19921,39.7556848390677
19922,39.8223399027097
19923,39.6680812222384
19924,39.7567464024364
19931,40.0227605831957
19932,39.9279148929554
19933,39.8328904193497
19934,40.0334479755395
19941,40.4674831411755
19942,40.6717696388109
19943,41.071374588986
19944,40.7543688067883
19951,40.9186744870785
19952,40.0770272887494
19953,39.8287645312981
19954,39.6741423140118
19961,39.4515305103511
19962,39.6396860738817
19963,39.8144525101291
19964,39.7221018058969
19971,39.865956960178
19972,40.3151010900968
19973,41.02092286421
19974,41.639740359793
19981,42.4243635057759
19982,43.0406534709567
19983,43.216899902686
19984,43.8135410162737
19991,44.5686080086891
19992,45.207773407674
19993,46.0395020167433
19994,47.0963950515523
20001,47.8097713251817
20002,48.3518808180974
20003,47.2960059612162
20004,48.1180716373516
20011,48.9924447663384
20012,50.1876806641214
20013,52.7678290923462
20014,53.9538663587382
20021,56.1010547595609
20022,58.92578495303
20023,60.808908305437
20024,62.3238765165367
20031,64.1082315659927
20032,67.3665427989798
20033,71.0638074270328
20034,73.0028149305413
20041,73.0968620180046
20042,71.8488124291593
20043,71.6351337352593
20044,72.0501221495225
20051,72.3575565243701
20052,72.0933126764726
20053,71.3936973222063
20054,71.8482585792604
20061,72.5617883527386
20062,73.9653292510824
20063,74.9143460269755
20064,75.5325362724706
20071,76.2527548477028
20072,78.2268793049717
20073,80.9414212352203
20074,82.8634850023106
20081,83.0525628405249
20082,81.2830623270901
20083,79.1981425920685
20084,77.2186496129112
20091,77.0112275535566
20092,79.4345546801984
20093,82.8031652293654
20094,86.1853680868824
20101,88.673569927763
20102,89.5677849298234
20103,89.0435439263814
20104,88.7901241708736
20111,87.4663233962755
20112,85.8776900137572
20113,84.5554390054562
20114,83.0064759278615
20121,83.574731233497
20122,82.79337182529
20123,82.5368347701094
20124,83.3331663413103
20131,84.0238125880161
20132,85.3573670397387
20133,87.3646013093954
20134,89.7381622874857
20141,91.1513424016763
20142,92.0875160963729
20143,93.7046857815545
20144,94.6732489453704
20151,96.4621606800306
20152,99.8854187839324
20153,102.204041880693
20154,101.448378655344
20161,102.148452039825
20162,103.42132439087
20163,105.197108194759
20164,108.611771453552
20171,111.247045345827
20172,112.541691804593
20173,112.641051601738
20174,112.352442873177
20181,111.55283098337
20182,110.314603251656
20183,108.538770776043
20184,104.719002654852
20191,101.586684022959
20192,100.153120496953
20193,102.681264547687
20194,105.532078703532
20201,106.982571068557
20202,105.238598528663
20203,106.264598108738
20204,108.159671168606
20211,113.358062407262
20212,120.05587899411
20213,126.493883266439
20214,131.265799377343
20221,130.643778921688
20222,126.957606467938
20223,121.618467449841
20224,118.718749602546
20231,117.446423782092
20232,117.9703995711
20233,119.767120340975
