Time,Value
19723,8.83801661469814
19724,8.90607795292711
19731,9.12354822693911
19732,9.23415731535208
19733,9.38275510364416
19734,9.72535903741668
19741,9.85338921202222
19742,10.2419537020565
19743,10.5666715870258
19744,10.9970527062788
19751,11.4058035475986
19752,11.8878021694269
19753,12.3860679369426
19754,12.8162324080201
19761,13.2305310957207
19762,13.624639401474
19763,14.2050083912338
19764,14.5460280623474
19771,14.9644838787313
19772,15.2665080254464
19773,15.5635486458723
19774,15.9192371641722
19781,16.2403809460021
19782,16.5431077478875
19783,16.835251608428
19784,17.1998680500084
19791,17.6136392588737
19792,18.0004193648898
19793,18.2861415226565
19794,18.5701889123786
19801,18.8078103017374
19802,19.183366212516
19803,19.5541700500695
19804,19.8475631097908
19811,20.2769792934985
19812,20.6402286432055
19813,21.0910986782416
19814,21.6744738454018
19821,22.2889843973482
19822,23.0128851306496
19823,23.8143657646598
19824,24.4115763983187
19831,24.8452704318552
19832,25.2928534937728
19833,25.6293286271453
19834,26.055710175122
19841,26.5748989017252
19842,27.1179864210501
19843,27.5393987979871
19844,28.0658095414992
19851,28.6665889062963
19852,29.218227480471
19853,29.9959363777984
19854,30.7154420599585
19861,31.4819897712524
19862,32.3281360501342
19863,33.0921825534048
19864,33.9089979766218
19871,34.6647637329169
19872,35.5274276317921
19873,36.5593280341761
19874,37.5511486389483
19881,38.6733751297864
19882,39.6313526842731
19883,40.7591722949722
19884,41.7383099912444
19891,42.7752274888247
19892,43.6334723065558
19893,44.4200372527289
19894,45.1968049550833
19901,45.784336572832
19902,46.3541898880962
19903,46.8990101934687
19904,47.4711466591883
19911,47.7950270583577
19912,48.1597084953847
19913,48.2822732947667
19914,48.3792452285223
19921,48.5310954217376
19922,48.5982187850062
19923,48.6533142694886
19924,48.6567958286953
19931,48.7149820703415
19932,48.77217206361
19933,48.8337812223636
19934,49.0300490625578
19941,49.0818909683168
19942,49.1308155492975
19943,49.1978635948341
19944,49.3077744773445
19951,49.5419347450014
19952,49.8560011405541
19953,50.1968465523497
19954,50.4963925734915
19961,51.0053481782499
19962,51.3061326713625
19963,51.7460736304643
19964,52.1411912947665
19971,52.4639106806423
19972,52.8485395628219
19973,53.2048660684799
19974,53.6978502149515
19981,54.0116926438846
19982,54.4800292834699
19983,54.9445317439845
19984,55.2511036645804
19991,55.6505919864126
19992,55.9309131138971
19993,56.2240367708346
19994,56.7159061940364
20001,57.1973019988193
20002,57.6575549244939
20003,58.1430385786827
20004,58.451553429185
20011,59.0188342162053
20012,59.4814005237329
20013,59.8741964088923
20014,60.2764586825305
20021,60.6611162383354
20022,61.0319617312061
20023,61.3337114377496
20024,61.5493511647263
20031,61.7553261676769
20032,62.0389521055056
20033,62.4207929351042
20034,62.9189699334683
20041,63.301369516173
20042,63.6840294139535
20043,64.0572553147232
20044,64.381257683139
20051,64.6647068090857
20052,65.0547943712443
20053,65.4194468360234
20054,65.9367446181079
20061,66.4864023612197
20062,66.9665866364525
20063,67.6960814297664
20064,68.4042832667302
20071,69.4020445033744
20072,70.4271229390199
20073,71.6111796726371
20074,72.8805684250828
20081,74.2310223174013
20082,75.8947943593312
20083,77.4416374987537
20084,78.995934144937
20091,80.248029961365
20092,81.3616194592341
20093,82.2737287158591
20094,83.0993527363828
20101,83.9859516786843
20102,84.823585361119
20103,85.7412537112739
20104,86.652541899339
20111,87.7210826568082
20112,88.6554798591408
20113,89.7538892976521
20114,90.751992796704
20121,91.6376196954695
20122,92.5857332276977
20123,93.310883455989
20124,94.1157700770942
20131,94.8307493996266
20132,95.7866387471671
20133,96.3222160720714
20134,96.9255237642754
20141,97.5684873803081
20142,98.0755940308073
20143,98.6962670555884
20144,99.187500724277
20151,99.5682371633405
20152,99.915397903793
20153,100.159900744631
20154,100.356464188235
20161,100.467150196578
20162,100.661659538971
20163,100.900100909431
20164,100.979339731052
20171,101.087105084777
20172,101.314961019372
20173,101.465247266842
20174,101.69333732409
20181,101.892060654346
20182,101.957416399425
20183,102.116906921633
20184,102.237767050113
20191,102.330427282576
20192,102.420866643421
20193,102.480478229201
20194,102.431079052658
20201,102.510792923697
20202,101.231522386259
20203,101.007070373097
20204,101.084765046215
20211,101.055660590806
20212,101.227168894493
20213,101.353861208658
20214,101.468259944161
20221,102.070994043246
20222,102.858889094956
20223,104.163185524967
20224,105.492283160576
20231,107.091285881605
20232,109.78469229658
20233,112.078640293076
