"COU","Country","IND","Indicator","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1977-Q4","Q4-1977","1","RATIOS","0","Units",,,80.4791456236769,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1978","1978","1","RATIOS","0","Units",,,76.9031073629021,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1978-Q1","Q1-1978","1","RATIOS","0","Units",,,75.6996507451,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1978-Q2","Q2-1978","1","RATIOS","0","Units",,,77.582892687976,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1978-Q3","Q3-1978","1","RATIOS","0","Units",,,77.2957589947067,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1978-Q4","Q4-1978","1","RATIOS","0","Units",,,77.0341270238257,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1979","1979","1","RATIOS","0","Units",,,77.5710457449987,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1979-Q1","Q1-1979","1","RATIOS","0","Units",,,78.9540405591805,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1979-Q2","Q2-1979","1","RATIOS","0","Units",,,77.696780908955,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1979-Q3","Q3-1979","1","RATIOS","0","Units",,,77.1584047334521,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1979-Q4","Q4-1979","1","RATIOS","0","Units",,,76.4749567784072,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1980","1980","1","RATIOS","0","Units",,,78.5301921540378,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1980-Q1","Q1-1980","1","RATIOS","0","Units",,,76.2921464356318,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1980-Q2","Q2-1980","1","RATIOS","0","Units",,,78.2796889729481,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1980-Q3","Q3-1980","1","RATIOS","0","Units",,,79.4282038370532,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1980-Q4","Q4-1980","1","RATIOS","0","Units",,,80.1207293705183,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1981","1981","1","RATIOS","0","Units",,,79.3189557117375,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1981-Q1","Q1-1981","1","RATIOS","0","Units",,,79.7519963134125,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1981-Q2","Q2-1981","1","RATIOS","0","Units",,,79.1005189905958,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1981-Q3","Q3-1981","1","RATIOS","0","Units",,,80.0455019388505,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1981-Q4","Q4-1981","1","RATIOS","0","Units",,,78.3778056040912,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1982","1982","1","RATIOS","0","Units",,,68.8580213631839,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1982-Q1","Q1-1982","1","RATIOS","0","Units",,,71.4928310784386,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1982-Q2","Q2-1982","1","RATIOS","0","Units",,,68.3214806533596,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1982-Q3","Q3-1982","1","RATIOS","0","Units",,,67.2467432687369,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1982-Q4","Q4-1982","1","RATIOS","0","Units",,,68.3710304522006,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1983","1983","1","RATIOS","0","Units",,,70.0577816204418,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1983-Q1","Q1-1983","1","RATIOS","0","Units",,,72.4698993506707,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1983-Q2","Q2-1983","1","RATIOS","0","Units",,,72.4177702276586,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1983-Q3","Q3-1983","1","RATIOS","0","Units",,,67.4539995640118,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1983-Q4","Q4-1983","1","RATIOS","0","Units",,,67.8894573394261,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1984","1984","1","RATIOS","0","Units",,,64.5540295628317,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1984-Q1","Q1-1984","1","RATIOS","0","Units",,,66.9831509085833,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1984-Q2","Q2-1984","1","RATIOS","0","Units",,,64.6690413084271,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1984-Q3","Q3-1984","1","RATIOS","0","Units",,,63.6903063519865,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1984-Q4","Q4-1984","1","RATIOS","0","Units",,,62.87361968233,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1985","1985","1","RATIOS","0","Units",,,63.424948864627,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1985-Q1","Q1-1985","1","RATIOS","0","Units",,,62.4443955322995,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1985-Q2","Q2-1985","1","RATIOS","0","Units",,,61.9154049622752,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1985-Q3","Q3-1985","1","RATIOS","0","Units",,,64.1695607609563,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1985-Q4","Q4-1985","1","RATIOS","0","Units",,,65.170434202977,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1986","1986","1","RATIOS","0","Units",,,71.3194140738016,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1986-Q1","Q1-1986","1","RATIOS","0","Units",,,66.431826377436,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1986-Q2","Q2-1986","1","RATIOS","0","Units",,,69.8761115725317,,
"CAN","Canada","HPI_YDH_AVG","Standardised price-income ratio","1986-Q3","Q3-1986","1","RATIOS","0","Units",,,73.1021042657119,,
